num_trips_bike_day,manufacturing,delivery ,use,operation,infastructure,total
14.44800048,11.5260474,0.316929692,8.884251574,0,23.93870221,44.66593087
15.88701475,10.65449202,0.289101719,8.884251574,0,23.93870221,43.76654752
15.90730067,10.61053817,0.287698313,8.884251574,0,23.93870221,43.72119027
15.91844364,10.61053817,0.287698313,8.884251574,0,23.93870221,43.72119027
15.92215796,10.61053817,0.287698313,8.884251574,0,23.93870221,43.72119027
15.96930128,10.61053817,0.287698313,8.884251574,0,23.93870221,43.72119027
16.72159446,10.19338363,0.274378946,8.884251574,0,23.93870221,43.29071635
16.88788182,10.11454525,0.271861708,8.884251574,0,23.93870221,43.20936073
16.9693112,10.07566604,0.270620331,8.884251574,0,23.93870221,43.16924015
17.30207641,9.88647707,0.264579698,8.884251574,0,23.93870221,42.97401055
21.3406879,8.325256753,0.214731349,8.884251574,0,23.93870221,41.36294188
